id,Home team,Home team score, Host team,Host team score,Home team win odd,Draw odd,Host team win odd,Event result type,leaguelink,season
0x00204EE359B84E86A841B46A2827B60200000000000000000000000000000000,Blackburn,0,Newcastle,2,2.400,3.320,2.940,2,https://www.oddsportal.com/soccer/england/premier-league-2011-2012/results/,2011/2012
0x0093D138BD2E4EABB0744E2C63E08C1700000000000000000000000000000000,Aston Villa,0,Swansea,2,1.860,3.380,4.460,2,https://www.oddsportal.com/soccer/england/premier-league-2011-2012/results/,2011/2012
0x00EF64C8C97445BA83F2F15F257731E800000000000000000000000000000000,West Brom,1,Chelsea,0,3.960,3.350,1.980,0,https://www.oddsportal.com/soccer/england/premier-league-2011-2012/results/,2011/2012
0x0134B4ED45D64813ACDB777A4179C0DA00000000000000000000000000000000,Manchester Utd,2,West Brom,0,1.320,5.270,9.350,0,https://www.oddsportal.com/soccer/england/premier-league-2011-2012/results/,2011/2012
0x0138B83B563B4834A732E3526A4C8A9800000000000000000000000000000000,Arsenal,1,Everton,0,1.510,4.100,6.510,0,https://www.oddsportal.com/soccer/england/premier-league-2011-2012/results/,2011/2012
0x02189B3F025D4DBCB33EB9441A8518C900000000000000000000000000000000,Wolves,1,Newcastle,2,2.470,3.240,2.900,2,https://www.oddsportal.com/soccer/england/premier-league-2011-2012/results/,2011/2012
0x0361FD57BC5A400B93F202AB9943DDC900000000000000000000000000000000,Arsenal,7,Blackburn,1,1.280,5.470,11.250,0,https://www.oddsportal.com/soccer/england/premier-league-2011-2012/results/,2011/2012
0x036C8ADE1DC34D8084CE6CAF7C256B0000000000000000000000000000000000,Blackburn,1,Tottenham,2,4.280,3.580,1.840,2,https://www.oddsportal.com/soccer/england/premier-league-2011-2012/results/,2011/2012
0x0450436C3A464C4BA5E503C6BF8B21AB00000000000000000000000000000000,West Brom,2,Wolves,0,2.050,3.250,3.820,0,https://www.oddsportal.com/soccer/england/premier-league-2011-2012/results/,2011/2012
0x04A3E2AFC33442BC878BD4207EAE620000000000000000000000000000000000,Manchester Utd,2,Liverpool,1,1.980,3.330,4.020,0,https://www.oddsportal.com/soccer/england/premier-league-2011-2012/results/,2011/2012
